date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/6/30,-14,2,-39,-2,17,23,2,-2,-7,0,-24,-8,-11,-12,-37,-2,-13,18,-45,-31,11,-13,7,-3,-7,-45,-10
2020/7/1,-13,-5,-38,-34,7,20,8,4,-13,-2,-28,-9,-13,-12,-38,1,-13,17,-48,-32,-2,-14,8,-9,-13,-47,-7
2020/7/2,-14,-3,-38,-9,1,20,8,1,-9,-6,-26,-10,-9,-13,-39,-1,-11,16,-49,-32,-2,-13,7,-8,-14,-47,-4
2020/7/3,-12,-8,-37,-15,-2,6,7,-2,-10,-5,-32,-14,-14,-14,-42,-2,-4,6,-51,-28,-8,-18,-1,-8,-3,-49,-10
2020/7/4,-11,-17,-40,-19,-2,-6,-3,-12,-18,-16,-35,-15,-13,-14,-45,-17,1,0,-52,-25,-5,-25,-9,-14,-3,-51,-35
2020/7/5,-13,-13,-51,-13,14,9,6,-5,-8,-9,-36,-18,-12,-15,-49,-10,-4,-4,-57,-29,-20,-24,-8,-8,-1,-48,-22
2020/7/6,-11,2,-35,-9,-21,22,15,6,-2,-2,-20,-8,-20,-8,-40,2,-9,23,-47,-29,4,-10,10,-5,-4,-36,-13
2020/7/7,-11,5,-34,-12,9,23,16,3,0,-2,-23,-5,-12,-10,-40,9,-7,18,-47,-30,3,-12,9,-3,-6,-40,-13
2020/7/8,-8,-10,-34,-12,2,22,18,2,-9,-4,-27,-8,-12,-15,-41,-1,-9,15,-49,-31,1,-13,6,-9,-8,-42,-12
2020/7/9,-14,-4,-36,-11,6,19,14,-1,-9,-8,-24,-8,-14,-12,-41,-5,-4,12,-50,-27,1,-13,6,-10,-6,-42,-13
2020/7/10,-13,-12,-34,-18,-3,3,7,-3,-11,-11,-28,-10,-13,-15,-42,-4,-1,7,-51,-25,-6,-19,-5,-14,-1,-41,-18
2020/7/11,-16,-18,-40,-20,-5,0,-2,-14,-18,-15,-33,-16,-12,-16,-44,-10,2,-2,-50,-27,-13,-27,-8,-15,-2,-47,-19
2020/7/12,-16,-4,-50,-12,17,12,13,-3,3,3,-32,-16,-11,-11,-48,1,-2,12,-56,-30,8,-27,-1,-6,1,-43,-17
2020/7/13,-13,5,-35,-10,10,29,18,4,11,0,-19,-6,-15,-7,-40,11,-5,24,-50,-33,5,-10,14,-6,-4,-35,-13
2020/7/14,-16,-3,-37,-11,16,26,18,5,-29,-3,-22,-4,-12,-4,-37,4,-7,19,-46,-29,5,-12,7,-6,-3,-36,-12
2020/7/15,-12,-5,-34,-10,10,24,20,9,-3,-2,-20,-6,-10,-13,-34,8,-6,15,-46,-30,5,-12,8,-10,-5,-33,-12
2020/7/16,-13,-8,-36,-11,6,23,16,4,-4,-7,-21,-5,-9,-14,-34,0,-5,10,-45,-30,3,-13,4,-9,0,-31,-13
2020/7/17,-12,-14,-35,-15,1,6,6,-2,-9,-6,-26,-9,-14,-18,-39,0,0,6,-50,-25,-2,-20,-8,-12,2,-33,-17
2020/7/18,-13,-23,-39,-18,-1,-1,-1,-6,-18,-16,-29,-12,-13,-20,-41,-13,3,-4,-48,-21,-6,-29,-11,-19,0,-40,-19
2020/7/19,-14,-11,-47,-15,14,12,12,2,0,3,-28,-14,-13,-14,-44,-1,-1,9,-56,-25,6,-28,-1,-7,3,-35,-17
2020/7/20,-14,13,-33,-7,8,32,15,6,0,0,-15,-5,-11,-9,-37,16,-12,26,-46,-26,8,-12,15,-9,-1,-25,-14
2020/7/21,-17,-27,-34,-10,13,33,15,2,-1,0,-16,-3,-7,-9,-37,20,-13,20,-48,-26,4,-14,11,-7,-2,-28,-13
2020/7/22,-16,-3,-33,-12,12,28,16,4,-9,2,-20,-6,-4,-13,-38,11,-11,15,-49,-28,4,-14,9,-11,-4,-29,-13
2020/7/23,-18,-6,-34,-10,9,22,11,-1,-8,-3,-20,-5,6,-14,-38,8,-8,11,-50,-28,3,-14,6,-10,-2,-30,-14
